Controller,Success Rate (%),Avg Path Length (Success),Avg Total Angle (Success),Total Episodes
DeterministicRRTController,99.4,48.381575854490485,18.50505551605817,500
DQNController,100.0,38.08521080548961,10.80891241502501,500
PER_DQNController,99.4,48.381575854490485,18.50505551605817,500
SmartAvoidanceController,100.0,35.13316117425392,10.376680576953936,500
TransformerDQNController,39.2,66.79675243140656,50.26548288922687,500
