Controller,Success Rate (%),Avg Length (px),Avg Angle (deg),Runs
PER_DQNController,98.8,688.4739111379617,30.98753814708397,500
TransformerDQNController,88.4,597.4875734365893,23.285993003675642,500
DQNController,74.2,671.6492357115651,28.711921882818306,500
DWAController,0.0,,,500
