Controller,Success Rate (%),Avg Path Length (Success),Avg Total Angle (Success),Total Episodes
DeterministicRRTController,5.0,36.43919189857867,13.351768824118158,100
DQNController,74.2,41.97807723197282,16.467957948235686,500
PER_DQNController,98.8,43.02961944612261,17.16790367759634,500
SmartAvoidanceController,100.0,48.751603722746395,22.94305133882709,500
TransformerDQNController,74.4,45.562757146002674,18.48008118296,500
