Controller,Success Rate (%),Avg Path Length (Success),Avg Total Angle (Success),Total Episodes
DQNController,74.2,41.97807723197282,16.467957948235686,500
ImprovedDQNController,98.8,43.02961944612261,17.16790367759634,500
TransformerDQNController,74.4,45.562757146002674,18.48008118296,500
