Controller,Success Rate (%),Avg Length (px),Avg Angle (deg),Runs
TransformerDQNController,96.39999999999999,698.9908059278316,19.012853045991868,500
DQNController,89.0,719.5615162710743,24.01060966412003,500
DWAController,46.2,673.8704591016673,16.032235474835094,500
