Controller,Success Rate (%),Avg Length (px),Avg Angle (deg),Runs
DWAController,100.0,514.3491506437115,10.009032258064515,500
TransformerDQNController,100.0,540.7573283035813,18.32333333333333,500
SmartAvoidanceController,100.0,562.1305787880627,18.511619318181815,500
DQNController,100.0,609.3633728878337,21.089776482427872,500
PER_DQNController,99.4,774.1052136718478,26.871083288035965,500
